"Tarih","PM10","SO2","NO2","O3"
"2017/10/21","38.69688","3.585878","14.31699","6.415317"
"2017/10/21","43.18812","3.543183","16.93968","8.550528"
"2017/10/21","37.81303","3.393636","18.23508","9.513191"
"2017/10/21","43.23935","3.102677","13.59721","26.72172"
"2017/10/21","35.71894","2.968622","14.57184","39.30745"
"2017/10/21","26","2.873891","8.975047","61.40326"
"2017/10/21","26.11544","2.850661","5.714459","71.93452"
"2017/10/21","27","3.084433","6.448207","64.3317"
"2017/10/21","29.53978","3.213736","7.273736","51.19412"
"2017/10/21","46.33953",,"8.454897","40.63189"
"2017/10/21","28.98576","3.691608","15.82058","11.95509"
"2017/10/21","42.14164","3.632628","11.09522","8.998273"
"2017/10/21","25.79007","4.947639","18.87746","2.642851"
"2017/10/21","8.651558","4.1248","15.36313","2.833108"
"2017/10/21","6","3.04178","6.751335","13.68349"
"2017/10/21","6.232295","3.012989","4.579427","20.84822"
"2017/10/21","8.348936","3.119253","3.465106","24.09986"
"2017/10/21","10.88511","3.051533","4.563628","22.30816"
"2017/10/21","11.62606","3.114103","4.981232","20.51213"
"2017/10/21","24.58074","3.014605","7.276457","15.28273"
"2017/10/21","28.88352","3.328219","11.64022","8.582489"
"2017/10/21","29.00143","3.532597","14.62399","3.744743"
"2017/10/20","37.91499","3.453358","12.105","10.14887"
"2017/10/20","46.16822","3.509969","13.97286","7.614556"
"2017/10/20","55.46178","3.769561","14.84285","4.852593"
"2017/10/20","59.80685","3.828952","16.9744","3.607374"
"2017/10/20","67.40187","3.641669","18.80107","4.997521"
"2017/10/20","77.41589","3.257761","18.69267","4.385893"
"2017/10/20","67.09118","3.698486","22.57379","6.196505"
"2017/10/20","24.34844","3.409514","20.0409","16.54107"
"2017/10/20","26.53541","2.732058","5.159673","56.3759"
"2017/10/20","23.23229","2.969802","6.610619","51.68282"
"2017/10/20","27.75745","3.169811","7.433195","46.21147"
"2017/10/20","48.53541","3.290772","11.60135","32.57645"
"2017/10/20","46.04533","3.732292","16.56446","13.30097"
"2017/10/20","54.11489","3.3174","9.043462","22.31597"
"2017/10/20","50.86383","4.969653","19.12038","8.963189"
"2017/10/20","17.61932","4.455455","18.0835","4.280662"
"2017/10/20","7.344681","3.090408","7.268498","19.23021"
"2017/10/20","10.34468","2.944833","5.093389","21.89056"
"2017/10/20","13.21902","2.991117","3.688907","24.72662"
"2017/10/20","14.76636","2.988939","3.539136","24.87398"
"2017/10/20","14.28705","3.028469","4.379068","25.16089"
"2017/10/20","24.23328","3.050125","6.561828","20.46563"
"2017/10/20","25.64541","3.048741","7.279872","21.6108"
"2017/10/20","24.50078","3.242394","8.713359","20.27922"
"2017/10/19","36.48297","3.231081","8.996015","19.26309"
"2017/10/19","41.1731","3.332975","11.35091","13.98595"
"2017/10/19","48.83853","3.331591","11.09225","14.56931"
"2017/10/19","40.81303","3.317894","12.64038","13.39987"
"2017/10/19","45.95467","3.164375","14.00342","15.40324"
"2017/10/19","39.29137","3.008472","14.80778","16.6993"
"2017/10/19","46.76945","3.032908","13.99088","25.69264"
"2017/10/19","29.29562","2.960025","13.06593","37.36126"
"2017/10/19","24.34468","2.899058","5.622149","56.95887"
"2017/10/19","27.93918","2.92985","5.701835","58.02985"
"2017/10/19","37.93494","3.072261","6.733208","51.9406"
"2017/10/19","58.82603","3.234533","8.768423","40.14577"
"2017/10/19","51.05957","3.478236","12.47721","24.53308"
"2017/10/19","56.80547","3.503864","13.21633","15.11338"
"2017/10/19","37.31308","3.870308","13.13774","15.98075"
"2017/10/19","16.65367","3.476469","10.9925","16.91696"
"2017/10/19","14","2.875678","5.338658","24.31343"
"2017/10/19","14.11544","3.010144","3.174835","26.3024"
"2017/10/19","14.29907","2.953944","1.619405","33.22659"
"2017/10/19","8.878698","2.908469","1.759158","33.90311"
"2017/10/19","9.046808","2.969053","2.208106","31.96597"
"2017/10/19","17.92918","2.939864","2.692296","31.08653"
"2017/10/19","25.46591","3.051689","5.555144","23.84802"
"2017/10/19","28.53041","3.175033","8.801192","16.99467"
"2017/10/18","27.11315","3.172061","9.427691","17.92794"
"2017/10/18","42.06082","3.051908","8.104383","22.94621"
"2017/10/18","36.29137","3.173267","13.72554","12.20728"
"2017/10/18","45.30312","3.069797","12.54748","16.71594"
"2017/10/18","40.2323","3.137133","14.19656","18.47583"
"2017/10/18","43.62376","3.063058","15.26446","21.83461"
"2017/10/18","52.90227","3.044991","16.42243","26.10579"
"2017/10/18","27.76387","3.102397","15.2746","33.1334"
"2017/10/18","18.34938","2.8313","6.524522","57.48785"
"2017/10/18","21.23639","2.827136","4.687852","59.62326"
"2017/10/18","26.61586","3.00053","7.05804","52.78905"
"2017/10/18","53.4177","3.107986","8.942097","41.37328"
"2017/10/18","49.59282","4.051991","17.09892","11.93425"
"2017/10/18","53.05296","3.770964","13.68372","11.20438"
"2017/10/18","41.31548","4.28875","19.41728","5.739525"
"2017/10/18",,"3.408314","12.16466","10.87793"
"2017/10/18",,"2.948933","2.965329","31.69734"
"2017/10/18","7","2.930469","1.863134","32.90567"
"2017/10/18","6.765537","2.892542","1.803591","35.62746"
"2017/10/18","5.117731","3.012311","1.778172","36.8312"
"2017/10/18","6.235127","3.037541",,"32.01705"
"2017/10/18","8.117564","3.065553","2.190552","34.74253"
"2017/10/18","9.235795","3.8606","3.732959","34.84071"
"2017/10/18","12.88102","3.315817","5.167418","33.41385"
"2017/10/17","28.88102","3.122972","8.385207","24.26608"
"2017/10/17","40.88385","3.386933","14.19493","13.78783"
"2017/10/17","24.2024","3.35695","15.19876","12.74946"
"2017/10/17","18.82609","3.242756","14.3568","15.81506"
"2017/10/17","24.64541","3.482486","14.47314","15.86816"
"2017/10/17","22.57722","3.2527","13.65223","18.23486"
"2017/10/17","26.64953","3.354991","14.04507","20.03646"
"2017/10/17","23.88162","3.274164","11.45064","28.27959"
"2017/10/17","22.49621","3.206047","11.69316","28.90602"
"2017/10/17","18.52975","3.413205","11.12884","29.93467"
"2017/10/17","14.41135","3.566739","9.821209","30.8713"
"2017/10/17","10","3.580847","14.01338","22.01895"
"2017/10/17","9.767045","3.218389","4.028814","57.43801"
"2017/10/17","7.647309","3.249975","5.61656","56.1466"
"2017/10/17","4.529078","3.261303","7.455019","52.87326"
"2017/10/17","0.882436","3.182461","2.370686","66.62141"
"2017/10/17","0.232624","3.042447","0.904562","69.39864"
"2017/10/17","2.348936","3.04305","0.894634","69.14979"
"2017/10/17","4.882436","3.016641","0.906888","68.91924"
"2017/10/17","3.651064","3.122905","0.840384","70.54318"
"2017/10/17","1","3.017847","0.880884","72.0414"
"2017/10/17","1.237654","3.056981","0.965443","69.91769"
"2017/10/17","3.237872","3.070692","1.454593","68.59662"
"2017/10/17","5","3.151533","2.030477","67.41743"
"2017/10/16","5.349922","3.245086","3.380532","64.14856"
"2017/10/16","8.11838","3.027614","5.838093","56.06721"
"2017/10/16","9","3.220869","4.6326","61.72393"
"2017/10/16","9.12029","3.213925","5.94455","59.66397"
"2017/10/16","10","3.153753","6.586946","58.95602"
"2017/10/16","9.882436","3.084047","4.717328","63.03181"
